country_name,data_name
Afghanistan,
Albania,
Algeria,
Angola,
Antigua & Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bhutan,
Bolivia,Bolivia (Plurinational State of)
Bosnia And Herzegovina,Bosnia and Herzegovina
Botswana,
Brazil,
Brunei Darussalam,
Bulgaria,
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,
Cape Verde,Cabo Verde
Central African Republic,
Chad,
Chile,
China,
Colombia,
Comoros,
Congo,
"Congo, The Democratic Republic Of The",Democratic Republic of the Congo
Costa Rica,
Cote Divoire,C̫te d'Ivoire
Croatia,
Cuba,
Cyprus,
Czech Republic,Czechia
Denmark,
Djibouti,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Ethiopia,
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Greece,
Grenada,
Guam,
Guatemala,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indonesia,
"Iran, Islamic Republic Of",Iran (Islamic Republic of)
Iraq,
Ireland,
Israel,
Italy,
Jamaica,
Japan,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
"Korea, Democratic Peoples Republic Of",Democratic People's Republic of Korea
"Korea, Republic Of",Republic of Korea
Kuwait,
Kyrgyzstan,
Lao Peoples Democratic Republic,Lao People's Democratic Republic
Latvia,
Lebanon,
Lesotho,
Liberia,
Libyan Arab Jamahiriya,Libya
Lithuania,
Luxembourg,
Macau,
"Macedonia, The Former Yugoslav Republic Of",North Macedonia
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Mauritania,
Mauritius,
Mexico,
"Micronesia, Federated States Of",
"Moldova, Republic Of",Republic of Moldova
Mongolia,
Montenegro,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,
New Caledonia,
New Zealand,
Nicaragua,
Niger,
Nigeria,
Norway,
Oman,
Pakistan,
"Palestinian Territory, Occupied",Palestine
Panama,
Papua New Guinea,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,
Qatar,
Roumania,
Russian Federation,
Rwanda,
Saint Lucia,
Saint Vincent And The Grenadines,
Sao Tome And Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic,
Taiwan,Taiwan (Province of China)
Tajikistan,
"Tanzania, United Republic Of",United Republic of Tanzania
Thailand,
Timor Leste,
Togo,
Tonga,
Trinidad And Tobago,Trinidad and Tobago
Tunisia,
Turkey,
Turkmenistan,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States Of America,United States of America
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela,Venezuela (Bolivarian Republic of)
Viet Nam,
"Virgin Islands, U.s.",
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
